armor_type	str_mod	cr	dex_mod	damage_resistances	wis	vulnerabilities	wis_save	hp_average	name	passive_perception	actions	legnedary_actions	launguages	xp	size	cha_save	armor_class	dex_save	con_mod	senses	skills	con_save	speed	str	damage_immunities	wis_mod	reactions	int_mod	condition_immunities	cha	cha_mod	dex	con	int_save	alignment	int	type	hp_source	str_save	special_abilties
Natural Armor	+4	8	+2	Cold; Bludgeoning; Piercing; And Slashing From Nonmagical Weapons That Aren't Silvered	12		+4	85	Chain Devil	8	"[{""Name"":""Multiattack"";""Desc"":""The devil makes two attacks with its chains.""};{""Name"":""Chain"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""8"";""Reach"":""10 ft."";""Target"":""one target"";""Damage"":""2d6 + 4"";""Damage Type"":""slashing"";""Desc"":""The target is grappled (escape DC 14) if the devil isn't already grappling a creature. Until this grapple ends; the target is restrained and takes 7 (2d6) piercing damage at the start of each of its turns""};{""Name"":""Animate Chains (Recharges after a Short or Long Rest)"";""Desc"":""Up to four chains the devil can see within 60 feet of it magically sprout razor-edged barbs and animate under the devil's control; provided that the chains aren't being worn or carried.<br>Each animated chain is an object with AC 20; 20 hit points; resistance to piercing damage; and immunity to psychic and thunder damage. When the devil uses Multiattack on its turn; it can use each animated chain to make one additional chain attack. An animated chain can grapple one creature of its own but can't make attacks while grappling. An animated chain reverts to its inanimate state if reduced to 0 hit points or if the devil is incapacitated or dies.""}]"		Infernal; Telepathy 120 Ft.	3900	Medium	+5	16		+4	Darkvision 120 Ft.		+7	30 ft.	18	Fire; Poison	+1	"[{""Name"":""Unnerving Mask"";""Desc"":""When a creature the devil can see starts its turn within 30 feet of the devil; the devil can create the illusion that it looks like one of the creature's departed loved ones or bitter enemies. If the creature can see the devil; it must succeed on a DC 14 Wisdom saving throw or be frightened until the end of its turn.""}]"	+0	Poisoned	14	+2	15	18		Lawful Evil	11	fiend (devil)	10d8+40		"[{""Name"":""Devil's Sight"";""Desc"":""Magical darkness doesn't impede the devil's darkvision.""};{""Name"":""Magic Resistance"";""Desc"":""The devil has advantage on saving throws against spells and other magical effects.""}]"
Natural Armor	+4	6	+0		14			114	Chimera	18	"[{""Name"":""Multiattack"";""Desc"":""The chimera makes three attacks: one with its bite; one with its horns; and one with its claws. When its fire breath is available; it can use the breath in place of its bite or horns.""};{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""7"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""2d6 + 4"";""Damage Type"":""piercing""};{""Name"":""Horns"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""7"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d12 + 4"";""Damage Type"":""bludgeoning""};{""Name"":""Claws"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""7"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""2d6 + 4"";""Damage Type"":""slashing""};{""Name"":""Fire Breath (Recharge 5-6)"";""Desc"":""The dragon head exhales fire in a 15-foot cone. Each creature in that area must make a DC 15 Dexterity saving throw; taking 31 (7d8) fire damage on a failed save; or half as much damage on a successful one.""}]"		Understands Draconic But Can't Speak	2300	Large		14		+4	Darkvision 60 Ft.	Perception +8		30 ft.; fly 60 ft.	19		+2		-4		10	+0	11	19		Chaotic Evil	3	monstrosity	12d10+48		
Natural Armor	+4	4	+0		11			93	Chuul	14	"[{""Name"":""Multiattack"";""Desc"":""The chuul makes two pincer attacks. If the chuul is grappling a creature; the chuul can also use its tentacles once.""};{""Name"":""Pincer"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""6"";""Reach"":""10 ft."";""Target"":""one target"";""Damage"":""2d6 + 4"";""Damage Type"":""bludgeoning"";""Desc"":""The target is grappled (escape DC 14) if it is a Large or smaller creature and the chuul doesn't have two other creatures grappled""};{""Name"":""Tentacles"";""Desc"":""One creature grappled by the chuul must succeed on a DC 13 Constitution saving throw or be poisoned for 1 minute. Until this poison ends; the target is paralyzed. The target can repeat the saving throw at the end of each of its turns; ending the effect on itself on a success.""}]"		Understands Deep Speech But Can't Speak	1100	Large		16		+3	Darkvision 60 Ft.	Perception +4		30 ft.; swim 30 ft.	19	Poison	+0		-3	Poisoned	5	-3	10	16		Chaotic Evil	5	aberration	11d10+33		"[{""Name"":""Amphibious"";""Desc"":""The chuul can breathe air and water.""};{""Name"":""Sense Magic"";""Desc"":""The chuul senses magic within 120 feet of it at will. This trait otherwise works like the detect magic spell but isn't itself magical.""}]"
Natural Armor	+5	9	-1		8			133	Clay Golem	9	"[{""Name"":""Multiattack"";""Desc"":""The golem makes two slam attacks.""};{""Name"":""Slam"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""8"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""2d10 + 5"";""Damage Type"":""bludgeoning"";""Desc"":""If the target is a creature; it must succeed on a DC 15 Constitution saving throw or have its hit point maximum reduced by an amount equal to the damage taken. The target dies if this attack reduces its hit point maximum to 0. The reduction lasts until removed by the greater restoration spell or other magic""};{""Name"":""Haste (Recharge 5-6)"";""Desc"":""Until the end of its next turn; the golem magically gains a +2 bonus to its AC; has advantage on Dexterity saving throws; and can use its slam attack as a bonus action.""}]"		Understands The Languages Of Its Creator But Can't Speak	5000	Large		14		+4	Darkvision 60 Ft.			20 ft.	20	Acid; Poison; Psychic; Bludgeoning; Piercing; And Slashing From Nonmagical Weapons That Aren't Adamantine	-1		-4	Charmed; Exhaustion; Frightened; Paralyzed; Petrified; Poisoned	1	-5	9	18		Unaligned	3	construct	14d10+56		"[{""Name"":""Acid Absorption"";""Desc"":""Whenever the golem is subjected to acid damage; it takes no damage and instead regains a number of hit points equal to the acid damage dealt.""};{""Name"":""Berserk"";""Desc"":""Whenever the golem starts its turn with 60 hit points or fewer; roll a d6. On a 6; the golem goes berserk. On each of its turns while berserk; the golem attacks the nearest creature it can see. If no creature is near enough to move to and attack; the golem attacks an object; with preference for an object smaller than itself. Once the golem goes berserk; it continues to do so until it is destroyed or regains all its hit points.""};{""Name"":""Immutable Form"";""Desc"":""The golem is immune to any spell or effect that would alter its form.""};{""Name"":""Magic Resistance"";""Desc"":""The golem has advantage on saving throws against spells and other magical effects.""};{""Name"":""Magic Weapons"";""Desc"":""The golem's weapon attacks are magical.""}]"
Natural Armor	+3	8	+2		12			78	Cloaker	11	"[{""Name"":""Multiattack"";""Desc"":""The cloaker makes two attacks: one with its bite and one with its tail.""};{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""6"";""Reach"":""5 ft."";""Target"":""one creature"";""Damage"":""2d6 + 3"";""Damage Type"":""piercing"";""Desc"":""If the target is large or smaller; the cloaker attaches to it If the cloaker has advantage against the target; the cloaker attaches to the target's head; and the target is blinded and unable to breathe while the cloaker is attached. While attached; the cloaker can make this attack only against the target and has advantage on the attack roll. The cloaker can detach itself by spending 5 feet of its movement. A creature; including the target; can take its action to detach the cloaker by succeeding on a DC 16 Strength check""};{""Name"":""Tail"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""6"";""Reach"":""10 ft."";""Target"":""one creature"";""Damage"":""1d8 + 3"";""Damage Type"":""slashing""};{""Name"":""Moan"";""Desc"":""Each creature within 60 feet of the cloaker that can hear its moan and that isn't an aberration must succeed on a DC 13 Wisdom saving throw or become frightened until the end of the cloaker's next turn. If a creature's saving throw is successful; the creature is immune to the cloaker's moan for the next 24 hours.""};{""Name"":""Phantasms (Recharges after a Short or Long Rest)"";""Desc"":""The cloaker magically creates three illusory duplicates of itself if it isn't in bright light. The duplicates move with it and mimic its actions; shifting position so as to make it impossible to track which cloaker is the real one. If the cloaker is ever in an area of bright light; the duplicates disappear.<br>Whenever any creature targets the cloaker with an attack or a harmful spell while a duplicate remains; that creature rolls randomly to determine whether it targets the cloaker or one of the duplicates. A creature is unaffected by this magical effect if it can't see or if it relies on senses other than sight.<br>A duplicate has the cloaker's AC and uses its saving throws. If an attack hits a duplicate; or if a duplicate fails a saving throw against an effect that deals damage; the duplicate disappears.""}]"		Deep Speech; Undercommon	3900	Large		14		+1	Darkvision 60 Ft.	Stealth +5		10 ft.; fly 40 ft.	17		+1		+1		14	+2	15	12		Chaotic Neutral	13	aberration	12d10+12		"[{""Name"":""Damage Transfer"";""Desc"":""While attached to a creature; the cloaker takes only half the damage dealt to it (rounded down). and that creature takes the other half.""};{""Name"":""False Appearance"";""Desc"":""While the cloaker remains motionless without its underside exposed; it is indistinguishable from a dark leather cloak.""};{""Name"":""Light Sensitivity"";""Desc"":""While in bright light; the cloaker has disadvantage on attack rolls and Wisdom (Perception) checks that rely on sight.""}]"
Natural Armor	+8	9	+0		16		+7	200	Cloud Giant	17	"[{""Name"":""Multiattack"";""Desc"":""The giant makes two morningstar attacks.""};{""Name"":""Morningstar"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""12"";""Reach"":""10 ft."";""Target"":""one target"";""Damage"":""3d8 + 8"";""Damage Type"":""piercing""};{""Name"":""Rock"";""Type Attack"":""Weapon Attack"";""Type"":""Ranged"";""Hit Bonus"":""12"";""Reach"":""60/240 ft."";""Target"":""one target"";""Damage"":""4d10 + 8"";""Damage Type"":""bludgeoning""}]"		Common; Giant	5000	Huge	+7	14		+6		Insight +7; Perception +7	+10	40 ft.	27		+3		+1		16	+3	10	22		Neutral Good (50%) Or Neutral Evil (50%)	12	giant	16d12+96		"[{""Name"":""Keen Smell"";""Desc"":""The giant has advantage on Wisdom (Perception) checks that rely on smell.""};{""Name"":""Innate Spellcasting"";""Desc"":""The giant's innate spellcasting ability is Charisma. It can innately cast the following spells; requiring no material components: <br><br>At will: detect magic; fog cloud; light<br>3/day each: feather fall; fly; misty step; telekinesis<br>1/day each: control weather; gaseous form""}]"
	-2	1/2	+1		13			27	Cockatrice	11	"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""3"";""Reach"":""5 ft."";""Target"":""one creature"";""Damage"":""1d4 + 1"";""Damage Type"":""piercing"";""Desc"":""The target must succeed on a dc 11 constitution saving throw against being magically petrified On a failed save; the creature begins to turn to stone and is restrained. It must repeat the saving throw at the end of its next turn. On a success; the effect ends. On a failure; the creature is petrified for 24 hours""}]"			100	Small		11		+1	Darkvision 60 Ft.			20 ft.; fly 40 ft.	6		+1		-4		5	-3	12	12		Unaligned	2	monstrosity	6d6+6		
	+0	0	+0		10			4	Commoner	10	"[{""Name"":""Club"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""2"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d4"";""Damage Type"":""bludgeoning""}]"		Any One Language (Usually Common)	10	Medium		10		+0				30 ft.	10		+0		+0		10	+0	10	10		Any Alignment	10	humanoid (any race)	1d8		
	+2	1/4	+2		10			13	Constrictor Snake	10	"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""4"";""Reach"":""5 ft."";""Target"":""one creature"";""Damage"":""1d6 + 2"";""Damage Type"":""piercing""};{""Name"":""Constrict"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""4"";""Reach"":""5 ft."";""Target"":""one creature"";""Damage"":""1d8 + 2"";""Damage Type"":""bludgeoning"";""Desc"":""The target is grappled (escape dc 14) Until this grapple ends; the creature is restrained; and the snake can't constrict another target""}]"			50	Large		12		+1	Blindsight 10 Ft.			30 ft.; swim 30 ft.	15		+0		-5		3	-4	14	12		Unaligned	1	beast	2d10+2		
Natural Armor	+2	1	+1		11		+2	22	Copper Dragon Wyrmling	14	"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""4"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d10 + 2"";""Damage Type"":""piercing""};{""Name"":""Breath Weapons (Recharge 5-6)"";""Desc"":""The dragon uses one of the following breath weapons.<br>Acid Breath. The dragon exhales acid in an 20-foot line that is 5 feet wide. Each creature in that line must make a DC 11 Dexterity saving throw; taking 18 (4d8) acid damage on a failed save; or half as much damage on a successful one.<br>Slowing Breath. The dragon exhales gas in a 1 5-foot cone. Each creature in that area must succeed on a DC 11 Constitution saving throw. On a failed save; the creature can't use reactions; its speed is halved; and it can't make more than one attack on its turn. In addition; the creature can use either an action or a bonus action on its turn; but not both. These effects last for 1 minute. The creature can repeat the saving throw at the end of each of its turns; ending the effect on itself with a successful save.""}]"		Draconic	200	Medium	+3	16	+3	+1	Blindsight 10 Ft.; Darkvision 60 Ft.	Perception +4; Stealth +3	+3	30 ft.; climb 30 ft.; fly 60 ft.	15	Acid	+0		+2		13	+1	12	13		Chaotic Good	14	dragon	4d8+4		
Natural Armor	+3	4	+5	Radiant	20		+7	97	Couatl	15	"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""8"";""Reach"":""5 ft."";""Target"":""one creature"";""Damage"":""1d6 + 5"";""Damage Type"":""piercing"";""Desc"":""The target must succeed on a dc 13 constitution saving throw or be poisoned for 24 hours Until this poison ends; the target is unconscious. Another creature can use an action to shake the target awake""};{""Name"":""Constrict"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""6"";""Reach"":""10 ft."";""Target"":""one medium or smaller creature"";""Damage"":""2d6 + 3"";""Damage Type"":""bludgeoning"";""Desc"":""The target is grappled (escape dc 15) Until this grapple ends; the target is restrained; and the couatl can't constrict another target""};{""Name"":""Change Shape"";""Desc"":""The couatl magically polymorphs into a humanoid or beast that has a challenge rating equal to or less than its own; or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the couatl's choice).<br>In a new form; the couatl retains its game statistics and ability to speak; but its AC; movement modes; Strength; Dexterity; and other actions are replaced by those of the new form; and it gains any statistics and capabilities (except class features; legendary actions; and lair actions) that the new form has but that it lacks. If the new form has a bite attack; the couatl can use its bite in that form.""}]"		All; Telepathy 120 Ft.	1100	Medium	+6	19		+3	Truesight 120 Ft.		+5	30 ft.; fly 90 ft.	16	Psychic; Bludgeoning; Piercing; And Slashing From Nonmagical Weapons	+5		+4		18	+4	20	17		Lawful Good	18	celestial	13d8+39		"[{""Name"":""Innate Spellcasting"";""Desc"":""The couatl's spellcasting ability is Charisma (spell save DC 14). It can innately cast the following spells; requiring only verbal components: <br><br>At will: detect evil and good; detect magic; detect thoughts<br>3/day each: bless; create food and water; cure wounds; lesser restoration; protection from poison; sanctuary; shield<br>1/day each: dream; greater restoration; scrying""};{""Name"":""Magic Weapons"";""Desc"":""The couatl's weapon attacks are magical.""};{""Name"":""Shielded Mind"";""Desc"":""The couatl is immune to scrying and to any effect that would sense its emotions; read its thoughts; or detect its location.""}]"
Natural Armor	-4	0	+0		8			2	Crab	9	"[{""Name"":""Claw"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""0"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d1"";""Damage Type"":""bludgeoning""}]"			10	Tiny		11		+0	Blindsight 30 Ft.	Stealth +2		20 ft.; swim 20 ft.	2		-1		-5		2	-4	11	10		Unaligned	1	beast	1d4		"[{""Name"":""Amphibious"";""Desc"":""The crab can breathe air and water.""}]"
Natural Armor	+2	1/2	+0		10			19	Crocodile	10	"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""4"";""Reach"":""5 ft."";""Target"":""one creature"";""Damage"":""1d10 + 2"";""Damage Type"":""piercing"";""Desc"":""The target is grappled (escape dc 12) Until this grapple ends; the target is restrained; and the crocodile can't bite another target""}]"			100	Large		12		+1		Stealth +2		20 ft.; swim 20 ft.	15		+0		-4		5	-3	10	13		Unaligned	2	beast	3d10+3		"[{""Name"":""Hold Breath"";""Desc"":""The crocodile can hold its breath for 15 minutes.""}]"
Leather Armor	+0	2	+2		13			22	Cult Fanatic	11	"[{""Name"":""Multiattack"";""Desc"":""The fanatic makes two melee attacks.""};{""Name"":""Dagger"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""4"";""Reach"":""5 ft."";""Target"":""one creature"";""Damage"":""1d4 + 2"";""Damage Type"":""piercing""};{""Name"":""Dagger"";""Type Attack"":""Weapon Attack"";""Type"":""Ranged"";""Hit Bonus"":""4"";""Reach"":""20/60 ft."";""Target"":""one creature"";""Damage"":""1d4 + 2"";""Damage Type"":""piercing""}]"		Any One Language (Usually Common)	450	Medium		13		+1		Deception +4; Persuasion +4; Religion +2		30 ft.	11		+1		+0		14	+2	14	12		Any Non-good Alignment	10	humanoid (any race)	6d8+6		"[{""Name"":""Dark Devotion"";""Desc"":""The fanatic has advantage on saving throws against being charmed or frightened.""};{""Name"":""Spellcasting"";""Desc"":""The fanatic is a 4th-level spellcaster. Its spell casting ability is Wisdom (spell save DC 11; +3 to hit with spell attacks). The fanatic has the following cleric spells prepared: <br><br>Cantrips (at will): light; sacred flame; thaumaturgy<br> 1st level (4 slots): command; inflict wounds; shield of faith<br> 2nd level (3 slots): hold person; spiritual weapon""}]"
Leather Armor	+0	1/8	+1		11			9	Cultist	10	"[{""Name"":""Scimitar"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""3"";""Reach"":""5 ft."";""Target"":""one creature"";""Damage"":""1d6 + 1"";""Damage Type"":""slashing""}]"		Any One Language (Usually Common)	25	Medium		12		+0		Deception +2; Religion +2		30 ft.	11		+0		+0		10	+0	12	10		Any Non-good Alignment	10	humanoid (any race)	2d8		"[{""Name"":""Dark Devotion"";""Desc"":""The cultist has advantage on saving throws against being charmed or frightened.""}]"
	+3	1/2	+1		10			22	Darkmantle	10	"[{""Name"":""Crush"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""5"";""Reach"":""5 ft."";""Target"":""one creature"";""Damage"":""1d6 + 3"";""Damage Type"":""bludgeoning"";""Desc"":""The darkmantle attaches to the target If the target is Medium or smaller and the darkmantle has advantage on the attack roll; it attaches by engulfing the target's head; and the target is also blinded and unable to breathe while the darkmantle is attached in this way.<br>While attached to the target; the darkmantle can attack no other creature except the target but has advantage on its attack rolls. The darkmantle's speed also becomes 0; it can't benefit from any bonus to its speed; and it moves with the target.<br>A creature can detach the darkmantle by making a successful DC 13 Strength check as an action. On its turn; the darkmantle can detach itself from the target by using 5 feet of movement""};{""Name"":""Darkness Aura (1/day)"";""Desc"":""A 15-foot radius of magical darkness extends out from the darkmantle; moves with it; and spreads around corners. The darkness lasts as long as the darkmantle maintains concentration; up to 10 minutes (as if concentrating on a spell). Darkvision can't penetrate this darkness; and no natural light can illuminate it. If any of the darkness overlaps with an area of light created by a spell of 2nd level or lower; the spell creating the light is dispelled.""}]"			100	Small		11		+1	Blindsight 60 Ft.	Stealth +3		10 ft.; fly 30 ft.	16		+0		-4		5	-3	12	13		Unaligned	2	monstrosity	5d6+5		"[{""Name"":""Echolocation"";""Desc"":""The darkmantle can't use its blindsight while deafened.""};{""Name"":""False Appearance"";""Desc"":""While the darkmantle remains motionless; it is indistinguishable from a cave formation such as a stalactite or stalagmite.""}]"
	+2	1	+2		13			39	Death Dog	15	"[{""Name"":""Multiattack"";""Desc"":""The dog makes two bite attacks.""};{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""4"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d6 + 2"";""Damage Type"":""piercing"";""Desc"":""If the target is a creature; it must succeed on a DC 12 Constitution saving throw against disease or become poisoned until the disease is cured. Every 24 hours that elapse; the creature must repeat the saving throw; reducing its hit point maximum by 5 (1d10) on a failure. This reduction lasts until the disease is cured. The creature dies if the disease reduces its hit point maximum to 0""}]"			200	Medium		12		+2	Darkvision 120 Ft.	Perception +5; Stealth +4		40 ft.	15		+1		-4		6	-2	14	14		Neutral Evil	3	monstrosity	6d8+12		"[{""Name"":""Two-Headed"";""Desc"":""The dog has advantage on Wisdom (Perception) checks and on saving throws against being blinded; charmed; deafened; frightened; stunned; or knocked unconscious.""}]"
chain shirt	+2	1/2	+2		10			16	Deep Gnome (Svirfneblin)	12	"[{""Name"":""War Pick"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""4"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d8 + 2"";""Damage Type"":""piercing""};{""Name"":""Poisoned Dart"";""Type Attack"":""Weapon Attack"";""Type"":""Ranged"";""Hit Bonus"":""4"";""Reach"":""30/120 ft."";""Target"":""one creature"";""Damage"":""1d4 + 2"";""Damage Type"":""piercing"";""Desc"":""The target must succeed on a dc 12 constitution saving throw or be poisoned for 1 minute The target can repeat the saving throw at the end of each of its turns; ending the effect on itself on a success""}]"		Gnomish; Terran; Undercommon	100	Small		15		+2	darkvision 120 ft.	Investigation +3; Perception +2; Stealth +4		20 ft.	15		+0		+1		9	-1	14	14		Neutral Good	12	humanoid (gnome)	3d6 + 6		"[{""Name"":""Stone Camouflage"";""Desc"":""The gnome has advantage on Dexterity (Stealth) checks made to hide in rocky terrain.""};{""Name"":""Gnome Cunning"";""Desc"":""The gnome has advantage on Intelligence; Wisdom; and Charisma saving throws against magic.""};{""Name"":""Innate Spellcasting"";""Desc"":""The gnome's innate spellcasting ability is Intelligence (spell save DC 11). It can innately cast the following spells; requiring no material components:<br><br>At will: nondetection (self only)<br>1/day each: blindness deafness; blur; disguise self""}]"
	+0	0	+3		14			4	Deer	12	"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""2"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d4"";""Damage Type"":""piercing""}]"			10	Medium		13		+0				50 ft.	11		+2		-4		5	-3	16	11		Unaligned	2	beast	1d8		
Natural Armor	+4	10	+4	Radiant; Bludgeoning; Piercing; And Slashing From Nonmagical Weapons	20		+9	136	Deva	19	"[{""Name"":""Multiattack"";""Desc"":""The deva makes two melee attacks.""};{""Name"":""Mace"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""8"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d6 + 4"";""Damage Type"":""bludgeoning"";""Damage 2"":""4d8"";""Damage 2 Type"":""radiant""};{""Name"":""Healing Touch (3/Day)"";""Desc"":""The deva touches another creature. The target magically regains 20 (4d8 + 2) hit points and is freed from any curse; disease; poison; blindness; or deafness.""};{""Name"":""Change Shape"";""Desc"":""The deva magically polymorphs into a humanoid or beast that has a challenge rating equal to or less than its own; or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the deva's choice).<br>In a new form; the deva retains its game statistics and ability to speak; but its AC; movement modes; Strength; Dexterity; and special senses are replaced by those of the new form; and it gains any statistics and capabilities (except class features; legendary actions; and lair actions) that the new form has but that it lacks.""}]"		All; Telepathy 120 Ft.	5900	Medium	+9	17		+4	Darkvision 120 Ft.	Insight +9; Perception +9		30 ft.; fly 90 ft.	18		+5		+3	Charmed; Exhaustion; Frightened	20	+5	18	18		Lawful Good	17	celestial	16d8+64		"[{""Name"":""Angelic Weapons"";""Desc"":""The deva's weapon attacks are magical. When the deva hits with any weapon; the weapon deals an extra 4d8 radiant damage (included in the attack).""};{""Name"":""Innate Spellcasting"";""Desc"":""The deva's spellcasting ability is Charisma (spell save DC 17). The deva can innately cast the following spells; requiring only verbal components: <br>At will: detect evil and good<br>1/day each: commune; raise dead""};{""Name"":""Magic Resistance"";""Desc"":""The deva has advantage on saving throws against spells and other magical effects.""}]"
Natural Armor	+3	1	+2		12			37	Dire Wolf	13	"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""5"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""2d6 + 3"";""Damage Type"":""piercing"";""Desc"":""If the target is a creature; it must succeed on a DC 13 Strength saving throw or be knocked prone""}]"			200	Large		14		+2		Perception +3; Stealth +4		50 ft.	17		+1		-4		7	-2	15	15		Unaligned	3	beast	5d10+10		"[{""Name"":""Keen Hearing and Smell"";""Desc"":""The wolf has advantage on Wisdom (Perception) checks that rely on hearing or smell.""};{""Name"":""Pack Tactics"";""Desc"":""The wolf has advantage on an attack roll against a creature if at least one of the wolf's allies is within 5 ft. of the creature and the ally isn't incapacitated.""}]"
	-2	1/8	+2		10			7	Diseased Giant Rat	10	"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""4"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d4 + 2"";""Damage Type"":""piercing"";""Desc"":""If the target is a creature; it must succeed on a DC 10 Constitution saving throw or contract a disease. Until the disease is cured; the target can\u2019t regain hit points except by magical means; and the target\u2019s hit point maximum decreases by 3 (1d6) every 24 \nhours. If the target\u2019s hit point maximum drops to 0 as a result of this disease; the target dies""}]"			25	Small		12		+0	Darkvision 60 ft.			30 ft.	7		+0		-4		4	-3	15	11		Unaligned	2	beast	7		"[{""Name"":""Keen Smell"";""Desc"":""The rat has advantage on Wisdom (Perception) checks that rely on smell.""};{""Name"":""Pack Tactics"";""Desc"":""The rat has advantage on an attack roll against a creature if at least one of the rat\u2019s allies is within 5 feet of the creature and the ally isn\u2019t incapacitated.""}]"
