Name,Tags/Lair,Environment,Source,Page,Reference,SRD,armor_type,str_mod,cr,dex_mod,damage_resistances,wis,vulnerabilities,wis_save,hp_average,passive_perception,actions,legnedary_actions,launguages,xp,size,cha_save,armor_class,dex_save,con_mod,senses,skills,con_save,speed,str,damage_immunities,wis_mod,reactions,int_mod,condition_immunities,cha,cha_mod,dex,con,int_save,alignment,int,type,hp_source,str_save,special_abilties
Lemure,devil,Extraplanar (Baator),MM,76.0,MM76,Y,,0.0,0,-3.0,Cold,11.0,,,13.0,10.0,"[{""Name"":""Fist"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""3"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d4"";""Damage Type"":""bludgeoning""}]",,Understands Infernal But Can't Speak,10.0,Medium,,7.0,,0.0,Darkvision 120 Ft.,,,15 ft.,10.0,Fire; Poison,0.0,,-5.0,Charmed; Frightened; Poisoned,3.0,-4.0,5.0,11.0,,Lawful Evil,1.0,fiend (devil),3d8,,"[{""Name"":""Devil's Sight"";""Desc"":""Magical darkness doesn't impede the lemure's darkvision.""};{""Name"":""Hellish Rejuvenation"";""Desc"":""A lemure that dies in the Nine Hells comes back to life with all its hit points in 1d10 days unless it is killed by a good-aligned creature with a bless spell cast on that creature or its remains are sprinkled with holy water.""}]"
Lizard,,Coastal; Desert; Forest; Swamp; Underdark,MM,332.0,MM332,,,-4.0,0,0.0,,8.0,,,2.0,9.0,"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""0"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d1"";""Damage Type"":""piercing""}]",,,10.0,Tiny,,10.0,,0.0,Darkvision 30 Ft.,,,20 ft.; climb 20 ft.,2.0,,-1.0,,-5.0,,3.0,-4.0,11.0,10.0,,Unaligned,1.0,beast,1d4,,
Myconid Sprout,,Underdark,MM,230.0,MM230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Octopus,,Underwater,MM,333.0,MM333,,,-3.0,0,2.0,,10.0,,,3.0,12.0,"[{""Name"":""Tentacles"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""4"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d1"";""Damage Type"":""bludgeoning"";""Desc"":""The target is grappled (escape dc 10) Until this grapple ends; the octopus can't use its tentacles on another target""};{""Name"":""Ink Cloud (Recharges after a Short or Long Rest)"";""Desc"":""A 5-foot-radius cloud of ink extends all around the octopus if it is underwater. The area is heavily obscured for 1 minute; although a significant current can disperse the ink. After releasing the ink; the octopus can use the Dash action as a bonus action.""}]",,,10.0,Small,,12.0,,0.0,Darkvision 30 Ft.,Perception +2; Stealth +4,,5 ft.; swim 30 ft.,4.0,,0.0,,-4.0,,4.0,-3.0,15.0,11.0,,Unaligned,3.0,beast,1d6,,"[{""Name"":""Hold Breath"";""Desc"":""While out of water; the octopus can hold its breath for 30 minutes.""};{""Name"":""Underwater Camouflage"";""Desc"":""The octopus has advantage on Dexterity (Stealth) checks made while underwater.""};{""Name"":""Water Breathing"";""Desc"":""The octopus can breathe only underwater.""}]"
Owl,,Arctic; Forest,MM,333.0,MM333,,,-4.0,0,1.0,,12.0,,,1.0,13.0,"[{""Name"":""Talons"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""3"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d1"";""Damage Type"":""slashing""}]",,,10.0,Tiny,,11.0,,-1.0,Darkvision 120 Ft.,Perception +3; Stealth +3,,5 ft.; fly 60 ft.,3.0,,1.0,,-4.0,,7.0,-2.0,13.0,8.0,,Unaligned,2.0,beast,1d4-1,,"[{""Name"":""Flyby"";""Desc"":""The owl doesn't provoke opportunity attacks when it flies out of an enemy's reach.""};{""Name"":""Keen Hearing and Sight"";""Desc"":""The owl has advantage on Wisdom (Perception) checks that rely on hearing or sight.""}]"
Quipper,,Underwater,MM,335.0,MM335,,,-4.0,0,3.0,,7.0,,,1.0,8.0,"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""5"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d1"";""Damage Type"":""piercing""}]",,,10.0,Tiny,,13.0,,-1.0,Darkvision 60 Ft.,,,Swim 40 ft.,2.0,,-2.0,,-5.0,,2.0,-4.0,16.0,9.0,,Unaligned,1.0,beast,1d4-1,,"[{""Name"":""Blood Frenzy"";""Desc"":""The quipper has advantage on melee attack rolls against any creature that doesn't have all its hit points.""};{""Name"":""Water Breathing"";""Desc"":""The quipper can breathe only underwater.""}]"
Rat,,Swamp; Urban,MM,335.0,MM335,,,-4.0,0,0.0,,10.0,,,1.0,10.0,"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""0"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d1"";""Damage Type"":""piercing""}]",,,10.0,Tiny,,10.0,,-1.0,Darkvision 30 Ft.,,,20 ft.,2.0,,0.0,,-4.0,,4.0,-3.0,11.0,9.0,,Unaligned,2.0,beast,1d4-1,,"[{""Name"":""Keen Smell"";""Desc"":""The rat has advantage on Wisdom (Perception) checks that rely on smell.""}]"
Raven,,Hills; Swamp; Urban,MM,335.0,MM335,,,-4.0,0,2.0,,12.0,,,1.0,13.0,"[{""Name"":""Beak"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""4"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d1"";""Damage Type"":""piercing""}]",,,10.0,Tiny,,12.0,,-1.0,,Perception +3,,10 ft.; fly 50 ft.,2.0,,1.0,,-4.0,,6.0,-2.0,14.0,8.0,,Unaligned,2.0,beast,1d4-1,,"[{""Name"":""Mimicry"";""Desc"":""The raven can mimic simple sounds it has heard; such as a person whispering; a baby crying; or an animal chittering. A creature that hears the sounds can tell they are imitations with a successful DC 10 Wisdom (Insight) check.""}]"
Scorpion,,Desert,MM,337.0,MM337,,Natural Armor,-4.0,0,0.0,,8.0,,,1.0,9.0,"[{""Name"":""Sting"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""2"";""Reach"":""5 ft."";""Target"":""one creature"";""Damage"":""1d1"";""Damage Type"":""piercing"";""Damage 2"":""1d8"";""Damage 2 Type"":""poison"";""Desc"":""The target must make a dc on a failed save; or half as much damage on a successful one""}]",,,10.0,Tiny,,11.0,,-1.0,Blindsight 10 Ft.,,,10 ft.,2.0,,-1.0,,-5.0,,2.0,-4.0,11.0,8.0,,Unaligned,1.0,beast,1d4-1,,
Sea Horse,,Underwater,MM,337.0,MM337,,,-5.0,0,1.0,,10.0,,,1.0,10.0,,,,10.0,Tiny,,11.0,,-1.0,,,,Swim 20 ft.,1.0,,0.0,,-5.0,,2.0,-4.0,12.0,8.0,,Unaligned,1.0,beast,1d4-1,,"[{""Name"":""Water Breathing"";""Desc"":""The sea horse can breathe only underwater.""}]"
Shrieker,,Underdark,MM,138.0,MM138,Y,,-5.0,0,-5.0,,3.0,,,13.0,6.0,"[{""Name"":""Shriek"";""Desc"":""When bright light or a creature is within 30 feet of the shrieker; it emits a shriek audible within 300 feet of it. The shrieker continues to shriek until the disturbance moves out of range and for 1d4 of the shrieker's turns afterward""}]",,,10.0,Medium,,5.0,,0.0,Blindsight 30 Ft. (Blind Beyond This Radius),,,0 ft.,1.0,,-4.0,,-5.0,Blinded; Deafened; Frightened,1.0,-5.0,1.0,10.0,,Unaligned,1.0,plant,3d8,,"[{""Name"":""False Appearance"";""Desc"":""While the shrieker remains motionless; it is indistinguishable from an ordinary fungus.""}]"
Spider,,Desert; Forest; Swamp; Underdark; Urban,MM,337.0,MM337,,,-4.0,0,2.0,,10.0,,,1.0,12.0,"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""4"";""Reach"":""5 ft."";""Target"":""one creature"";""Damage"":""1d1"";""Damage Type"":""piercing"";""Damage 2"":""1d4"";""Damage 2 Type"":""poison"";""Desc"":""The target must succeed on a dc""}]",,,10.0,Tiny,,12.0,,-1.0,Darkvision 30 Ft.,Stealth +4,,20 ft.; climb 20 ft.,2.0,,0.0,,-5.0,,2.0,-4.0,14.0,8.0,,Unaligned,1.0,beast,1d4-1,,"[{""Name"":""Spider Climb"";""Desc"":""The spider can climb difficult surfaces; including upside down on ceilings; without needing to make an ability check.""};{""Name"":""Web Sense"";""Desc"":""While in contact with a web; the spider knows the exact location of any other creature in contact with the same web.""};{""Name"":""Web Walker"";""Desc"":""The spider ignores movement restrictions caused by webbing.""}]"
Vulture,,Desert; Grassland; Hills,MM,339.0,MM339,,,-2.0,0,0.0,,12.0,,,5.0,13.0,"[{""Name"":""Beak"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""2"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d4"";""Damage Type"":""piercing""}]",,,10.0,Medium,,10.0,,1.0,,Perception +3,,10 ft.; fly 50 ft.,7.0,,1.0,,-4.0,,4.0,-3.0,10.0,13.0,,Unaligned,2.0,beast,1d8+1,,"[{""Name"":""Keen Sight and Smell"";""Desc"":""The vulture has advantage on Wisdom (Perception) checks that rely on sight or smell.""};{""Name"":""Pack Tactics"";""Desc"":""The vulture has advantage on an attack roll against a creature if at least one of the vulture's allies is within 5 ft. of the creature and the ally isn't incapacitated.""}]"
Weasel,,Forest; Grassland; Hills,MM,340.0,MM340,,,-4.0,0,3.0,,12.0,,,1.0,13.0,"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""5"";""Reach"":""5 ft."";""Target"":""one creature"";""Damage"":""1d1"";""Damage Type"":""piercing""}]",,,10.0,Tiny,,13.0,,-1.0,,Perception +3; Stealth +5,,30 ft.,3.0,,1.0,,-4.0,,3.0,-4.0,16.0,8.0,,Unaligned,2.0,beast,1d4-1,,"[{""Name"":""Keen Hearing and Smell"";""Desc"":""The weasel has advantage on Wisdom (Perception) checks that rely on hearing or smell.""}]"
Blood Hawk (MM version),,Arctic; Coastal; Forest; Grassland; Hills; Mountain,MM,319.0,MM319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camel,,Desert,MM,320.0,MM320,,,3.0,1/8,-1.0,,8.0,,,15.0,9.0,"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""5"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d4"";""Damage Type"":""bludgeoning""}]",,,25.0,Large,,9.0,,2.0,,,,50 ft.,16.0,,-1.0,,-4.0,,5.0,-3.0,8.0,14.0,,Unaligned,2.0,beast,2d10+4,,
Flumph,,Underdark,MM,135.0,MM135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flying Snake,,Desert; Forest; Grassland; Urban,MM,322.0,MM322,,,-3.0,1/8,4.0,,12.0,,,5.0,11.0,"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""6"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d1"";""Damage Type"":""piercing"";""Damage 2"":""3d4"";""Damage 2 Type"":""poison""}]",,,25.0,Tiny,,14.0,,0.0,Blindsight 10 Ft.,,,30 ft.; fly 60 ft.; swim 30 ft.,4.0,,1.0,,-4.0,,5.0,-3.0,18.0,11.0,,Unaligned,2.0,beast,2d4,,"[{""Name"":""Flyby"";""Desc"":""The snake doesn't provoke opportunity attacks when it flies out of an enemy's reach.""}]"
Giant Crab,,Coastal,MM,324.0,MM324,,Natural Armor,1.0,1/8,2.0,,9.0,,,13.0,9.0,"[{""Name"":""Claw"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""3"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d6 + 1"";""Damage Type"":""bludgeoning"";""Desc"":""The target is grappled (escape dc 11) The crab has two claws; each of which can grapple only one target""}]",,,25.0,Medium,,15.0,,0.0,Blindsight 30 Ft.,Stealth +4,,30 ft.; swim 30 ft.,13.0,,-1.0,,-5.0,,3.0,-4.0,15.0,11.0,,Unaligned,1.0,beast,3d8,,"[{""Name"":""Amphibious"";""Desc"":""The crab can breathe air and water.""}]"
Giant Rat,,Forest; Swamp; Underdark; Urban,MM,327.0,MM327,,,-2.0,1/8,2.0,,10.0,,,7.0,10.0,"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""4"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d4 + 2"";""Damage Type"":""piercing""}]",,,25.0,Small,,12.0,,0.0,Darkvision 60 Ft.,,,30 ft.,7.0,,0.0,,-4.0,,4.0,-3.0,15.0,11.0,,Unaligned,2.0,beast,2d6,,"[{""Name"":""Keen Smell"";""Desc"":""The rat has advantage on Wisdom (Perception) checks that rely on smell.""};{""Name"":""Pack Tactics"";""Desc"":""The rat has advantage on an attack roll against a creature if at least one of the rat's allies is within 5 ft. of the creature and the ally isn't incapacitated.""}]"
Giant Weasel,,Forest; Grassland; Hills,MM,329.0,MM329,,,0.0,1/8,3.0,,12.0,,,9.0,13.0,"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""5"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d4 + 3"";""Damage Type"":""piercing""}]",,,25.0,Medium,,13.0,,0.0,Darkvision 60 Ft.,Perception +3; Stealth +5,,40 ft.,11.0,,1.0,,-3.0,,5.0,-3.0,16.0,10.0,,Unaligned,4.0,beast,2d8,,"[{""Name"":""Keen Hearing and Smell"";""Desc"":""The weasel has advantage on Wisdom (Perception) checks that rely on hearing or smell.""}]"
Kobold,kobold,Arctic; Coastal; Desert; Forest; Hills; Mountain; Swamp; Underdark; Urban,MM,195.0,MM195,Y,,-2.0,1/8,2.0,,7.0,,,5.0,8.0,"[{""Name"":""Dagger"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""4"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d4 + 2"";""Damage Type"":""piercing""};{""Name"":""Sling"";""Type Attack"":""Weapon Attack"";""Type"":""Ranged"";""Hit Bonus"":""4"";""Reach"":""30/120 ft."";""Target"":""one target"";""Damage"":""1d4 + 2"";""Damage Type"":""bludgeoning""}]",,Common; Draconic,25.0,Small,,12.0,,-1.0,Darkvision 60 Ft.,,,30 ft.,7.0,,-2.0,,-1.0,,8.0,-1.0,15.0,9.0,,Lawful Evil,8.0,humanoid (kobold),2d6-2,,"[{""Name"":""Sunlight Sensitivity"";""Desc"":""While in sunlight; the kobold has disadvantage on attack rolls; as well as on Wisdom (Perception) checks that rely on sight.""};{""Name"":""Pack Tactics"";""Desc"":""The kobold has advantage on an attack roll against a creature if at least one of the kobold's allies is within 5 ft. of the creature and the ally isn't incapacitated.""}]"
Manes,demon,Extraplanar (Abyss),MM,60.0,MM60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mastiff,,Forest; Hills; Urban,MM,332.0,MM332,,,1.0,1/8,2.0,,12.0,,,5.0,13.0,"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""3"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d6 + 1"";""Damage Type"":""piercing"";""Desc"":""If the target is a creature; it must succeed on a DC 11 Strength saving throw or be knocked prone""}]",,,25.0,Medium,,12.0,,1.0,,Perception +3,,40 ft.,13.0,,1.0,,-4.0,,7.0,-2.0,14.0,12.0,,Unaligned,3.0,beast,1d8+1,,"[{""Name"":""Keen Hearing and Smell"";""Desc"":""The mastiff has advantage on Wisdom (Perception) checks that rely on hearing or smell.""}]"
Merfolk,merfolk,Coastal; Underwater,MM,218.0,MM218,Y,,0.0,1/8,1.0,,11.0,,,11.0,12.0,"[{""Name"":""Spear"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""2"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d8"";""Damage Type"":""piercing"";""Desc"":""two handed""};{""Name"":""Spear"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""2"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d6"";""Damage Type"":""piercing""};{""Name"":""Spear"";""Type Attack"":""Weapon Attack"";""Type"":""Ranged"";""Hit Bonus"":""2"";""Reach"":""20/60 ft."";""Target"":""one target"";""Damage"":""1d6"";""Damage Type"":""piercing""}]",,Aquan; Common,25.0,Medium,,11.0,,1.0,,Perception +2,,10 ft.; swim 40 ft.,10.0,,0.0,,0.0,,12.0,1.0,13.0,12.0,,Neutral,11.0,humanoid (merfolk),2d8+2,,"[{""Name"":""Amphibious"";""Desc"":""The merfolk can breathe air and water.""}]"
